source_id,ra,dec,parallax,phot_g_mean_mag,phot_rp_mean_mag,grvs_mag_nb_transits,teff_gspphot
3434955246652271616,99.31146244393662,30.295653709219327,-0.10823034150166203,20.376806,19.221725,,
3434955246652271744,99.31188886546214,30.29527808352834,1.2089048364856947,20.653036,,,
3434955246653842688,99.30889176783194,30.291012864855876,0.11499496657695757,18.366545,17.749748,,4832.1426
3434955281011116416,99.33562727146122,30.283470670135873,,20.513016,19.029772,,
4041878857814061568,267.5954478918675,-33.67411410730811,,20.024584,18.458033,,
4041878857814061952,267.59549380204066,-33.67369949736884,-2.569757979372188,19.771877,,,
3434955281012005376,99.34597702391052,30.29117464114275,0.922460668550371,20.387766,19.192392,,
4041878857814062720,267.59596474878276,-33.67494003436785,3.194706762837531,20.25455,,,
3434955281012006016,99.33985073651203,30.292957913646042,,20.674198,19.72763,,
4041878857814062848,267.5959651907751,-33.67222656714999,,20.103683,,,
3435539289191698048,96.2681289603625,30.518983275466347,0.7112913075941767,19.722883,18.9286,,
3435539289191703424,96.27887901553731,30.522150002319133,-0.30641659768027724,19.566463,18.960238,,
3435539293485051264,96.2780666225794,30.52118371081286,0.09730720586785296,19.85798,18.739357,,
3435539293485052032,96.28103462175694,30.517289448064474,0.9233250106168089,19.87211,19.098217,,
3435539293485058816,96.27212793203628,30.509153745168742,1.2485596892619388,19.967861,19.22307,,
3435539323551349632,96.26000634051418,30.517829299891076,0.7139624986743281,19.580027,18.750376,,
200908197767421824,75.52607218361223,40.83938759530282,0.300978232372152,17.500097,16.818445,,5125.504
3435539323551352064,96.25900816328131,30.520938140521473,-0.18338386314960728,18.440231,17.737328,,
200908197767421952,75.53350520599393,40.83431931252346,1.3687964272689963,18.164421,17.163729,,4106.8623
200908227825751040,75.54955420829677,40.85443838857859,0.2116461489668095,17.421558,16.725027,,5411.621
3435539323551354752,96.25124732096242,30.523626847267614,1.3458383731666175,16.715027,15.764142,,4208.1816
200908232122459136,75.54618162465341,40.86112229736556,0.252221326875721,19.92353,18.98646,,
200908232122475136,75.53543026803654,40.85254589103295,0.3942127994154229,18.728363,17.307907,,
3435539327846729088,96.25526059871179,30.52226208740885,0.2343372726223426,16.132553,15.302634,,4822.5913
5328345537056080256,133.15041058811707,-49.29093264218735,0.12142998043431816,15.145319,13.64633,11,
5328345537056190080,133.15323805385677,-49.289885712296616,,20.903366,19.516035,,
5328345567110570240,133.12963491221956,-49.294881367584736,-0.088869219995721,19.344006,18.270346,,
5407609261575164416,152.87869298094776,-47.173221175355145,1.664266406175768,20.769672,20.081259,,
5328345567110571008,133.13273044879813,-49.293729657903235,0.841694510975173,19.598118,18.15232,,
5407609261581815040,152.88998061583234,-47.175537729912826,0.37329463846706945,15.672462,15.191848,,6535.2876
5328345567110573184,133.13629467199732,-49.28803398673984,-0.04093398184804726,18.905333,17.961664,,3915.552
5407609261581815936,152.88835213502324,-47.168289592445404,0.36767297648103453,16.943768,16.369268,,5279.303
5407609261582198528,152.87839060907584,-47.17155110139786,,21.092596,20.076626,,
5328345567110575232,133.13318344287106,-49.283965848424316,0.36564573456164223,18.358625,17.162409,,4502.1304
5407609291636219008,152.64157851865178,-47.55190863318299,0.10029425137727883,17.204815,16.743742,,5794.9424
5328345567110578816,133.1294476313246,-49.2794851099154,0.12184872144162733,19.299318,18.30628,,
5407609291636243328,152.6442074424636,-47.54718352356177,0.2954703835903361,17.874546,17.320013,,5177.745
5407609291636243456,152.63953893440657,-47.54691627640239,0.1222114421960562,18.190924,17.546093,,4818.27
4041796737895775104,266.19531926065105,-34.1223871990346,0.1688908643234479,16.810944,15.642033,,4796.573
4041796737898147200,266.2027039563713,-34.12726320722897,-0.02296215433048933,17.098103,15.89287,,4706.4507
4041796737911987712,266.1901103923342,-34.1272907333344,-0.08249170701909231,17.914547,16.838757,,
4041796737911998208,266.19410209813583,-34.122210698658904,-4.429423392730657,19.541204,17.69658,,
4041807084499173248,266.59694820323887,-34.09759064456878,,20.490934,,,
4041796737912013312,266.19861616047405,-34.135780334927254,,20.517569,,,
4041796737912013696,266.1991775599437,-34.11726554674112,0.8002806075760907,18.951319,17.036434,,
4041807084499183232,266.59104059042176,-34.10064050238554,,20.211796,,,
4041796737912016640,266.1995854881039,-34.13028062172181,-0.8758720406855582,18.113176,16.959017,,4664.0034
4041796737912039424,266.20741886247805,-34.12592774361464,-0.16275143067764508,16.964062,15.5388975,,
4041807084499196288,266.5940468840899,-34.09623585819701,0.009914586769562084,19.707901,,,
4041796737916797952,266.1949471522396,-34.132901528021144,0.08946783141868234,19.006935,17.739561,,
4041807084499196416,266.5930821754639,-34.09639841126071,0.06144790642812001,16.766533,15.589657,,4733.0684
4041796737916798208,266.19676703279254,-34.127693400879835,-0.01238454768145575,17.797085,16.6943,,4321.9307
4041796737916801536,266.19822901126594,-34.12023766901144,0.8229855874716396,18.539764,17.369678,,
4041807084501487232,266.6003325593704,-34.10918693975968,,20.246788,,,
4041834366192851840,266.59996631720975,-33.66204333103763,0.3994565084188733,15.096209,14.382655,,8707.515
4041834366192852480,266.5989611740636,-33.66281103840403,,19.73806,,,
4041834366192865536,266.60414724110547,-33.65686800225367,-1.4903275208971472,19.496683,17.902142,,
4041834366194744704,266.6095902787773,-33.66958126293498,,20.898607,,,
4041834366194748672,266.6072773713669,-33.66584411019993,,20.603594,18.111807,,
4041834366194752640,266.6017880032132,-33.66496330867129,,20.10458,18.056326,,
4041834366195010816,266.61203743129215,-33.671002629041105,,20.661974,,,
4041834366195010944,266.60792951202995,-33.67305403746626,,20.786674,,,
4041834366195016576,266.6042203082966,-33.667893947829896,,21.07367,,,
4041834366195019392,266.6001788578952,-33.66699648345694,,20.266325,17.8821,,
4041834366195021312,266.59759493305717,-33.6671622729116,,20.186016,,,
4041834366195185024,266.6089561552356,-33.66602971191979,,20.72433,,,
4041834366195186176,266.6098923779314,-33.663730853697366,,20.677198,17.931501,,
4041834366195187584,266.605633903681,-33.66183642232159,,20.686165,,,
4041834366195189120,266.60475727617387,-33.65837048660733,,20.566687,,,
4041834366195351424,266.6020146267099,-33.67381111067063,,20.448444,,,
4041834366195599616,266.5977910858836,-33.67018383793402,,20.332952,17.481966,,
4041834366195723648,266.5967984427423,-33.66644570742187,,20.230505,,,
4041834366195724032,266.5953151563379,-33.66621954347353,,20.651297,19.475912,,
4041834366195918208,266.60160198213623,-33.674111250097134,,20.453371,,,
4041834366195984384,266.5962732924956,-33.66762044680234,,20.325514,,,
4041847354077825152,267.2028043181717,-33.97142072509824,-3.578800051015351,19.92384,,,
4041847354077828096,267.21048601956335,-33.96015796411198,,20.067108,,,
4041847354078076800,267.20407417427646,-33.96560186269216,0.5557415985365468,19.061655,,,
4041847354078144640,267.2036132677482,-33.97239931658513,,19.91689,,,
4041847354131761536,267.2091456311835,-33.9798363889521,0.1307122130113906,16.693687,15.877391,,6535.3594
4041847354131761920,267.21191986174614,-33.97749411734524,0.7096003034397305,19.327269,17.593893,,
4041847354131772416,267.2140783578544,-33.974382997108904,,19.889608,17.6092,,
4041847354131772544,267.2109327230049,-33.97682928625394,3.3102707974337746,19.338737,,,
4041847354131774976,267.2131545213034,-33.974942996372356,0.4209938340187261,13.255159,12.655938,,7906.218
4041847354131776256,267.20809250173517,-33.979065681477344,0.38420279710516725,17.097937,15.771936,,
4041847354131778688,267.21595393640524,-33.972165703386274,,19.7733,17.479275,,
4041847354131784832,267.2142047559426,-33.972493642143334,0.29843835266680346,16.88981,15.783998,,
4041847354131787392,267.21558579209307,-33.971198260132155,0.4633033530531192,16.507612,15.639433,,5813.889
4041847354131788288,267.2177292079638,-33.968284500467554,1.5907726516055392,17.812191,16.399782,,
4041847354131790208,267.20915313870364,-33.97623891911289,,18.511335,,,
4041847354131791232,267.2167461643444,-33.96981891446862,,19.697023,17.597313,,
4041847354131797248,267.21056917730954,-33.97398403020835,,19.969477,18.126417,,
3436180652363282304,98.00588690330406,31.862079531899184,0.696307081902106,14.406876,13.69034,8,
3436180682426990464,98.0210540170886,31.85066769159521,1.5049689266703405,17.12525,16.181963,,3927.1228
3436180682426998656,98.02445012310447,31.85563128565333,-0.653035902119732,19.832527,18.936853,,
3436180716786751104,98.02914460156362,31.86280741784261,,20.777983,19.834488,,
3436180716786757248,98.03177464866701,31.86539444932703,0.033837698687374976,17.870886,17.226526,,4856.6816
3436180716786759936,98.02540304119142,31.866314884330535,0.7699434930179805,19.190626,18.427513,,
3436180716786764928,98.0244594226145,31.868808575645666,0.33855286811756186,16.743523,16.140488,,5330.8374
3436180716786767104,98.03466863961326,31.87076891714256,0.16823370452513195,20.122433,19.75684,,
3436180716786777088,98.03158924704996,31.874867106583984,0.32447454375734996,16.534985,15.812276,,5121.0405
3436180716786777216,98.03447688145829,31.87370832807608,0.6985393444626173,17.380087,16.662025,,4423.862
3436180721081318400,98.03329903673529,31.87232545213881,,20.746586,19.604542,,
3436180721082753024,98.02951254209673,31.870108438865984,0.337864211164318,16.65205,16.062195,,5470.615
3436180751146490624,98.01253952059753,31.862629437341603,0.4991271651766879,19.280422,18.690514,,
3436180751146503424,98.00574504157358,31.869051934714797,1.078870230409567,19.196302,18.361166,,
3436180751146504064,98.01018258863797,31.869471490813552,1.4510825401108272,19.142553,18.094835,,
4041864804590108800,267.07327785075137,-33.79415348726254,-0.3387315021281646,19.415932,18.355732,,
4041864804590111360,267.0762613225112,-33.79540145775498,,20.678062,,,
4041864804590111872,267.0766465624763,-33.798743853338,-0.8820408214304877,19.698563,,,
4041864804590112000,267.0765126927867,-33.7943597324067,6.739594071946131,20.347641,,,
4041864804590112512,267.0771397951121,-33.798340636674986,,19.85211,,,
4041864804590113024,267.0773016257567,-33.79426530779152,0.7927803579413302,19.927973,18.74907,,
4041864804590114048,267.07829052720217,-33.799302139465766,-3.0801771169774974,19.822979,18.55091,,
4041864804590114816,267.0791247312642,-33.79863072777802,,20.35586,,,
4041864804590115968,267.08056145070157,-33.796586994320826,0.22859249465332687,19.833443,18.62,,
4041864804590117120,267.0818555300709,-33.79462342870449,0.6522514374154573,19.495502,17.582396,,
4041864804590178048,267.0749838350151,-33.79673736131098,-2.2990894002538345,20.256979,18.342033,,
4041864804590179200,267.07545303733554,-33.79743003931953,,20.52908,,,
4041864804590182528,267.0777179883175,-33.80063371384207,,20.886387,19.71715,,
4041864804590182784,267.07786230775645,-33.79808701196397,,21.33311,,,
4041864804590183936,267.0785103116786,-33.79433956380799,,20.541077,,,
4041864804590185472,267.0793432149702,-33.79789961685178,-1.7723761927878103,20.484585,19.93961,,
4041864804590188800,267.0811889453551,-33.79617059024397,,20.96831,,,
4041864804590189440,267.08171516419947,-33.796836943657304,,20.699047,,,
3436666670863112448,92.1339268493688,29.17389454728993,,20.79148,19.92961,,
3436666670863398144,92.13587235592824,29.168872705187106,0.37718636837790265,17.243303,16.549147,,5130.346
3436666670863398656,92.12602024922066,29.1743409562098,0.3261065842339925,15.279218,14.615722,,7631.9766
3436666700926379008,92.14436855716394,29.182899708841813,0.21977783421189429,19.4555,18.54883,,
3436666705219200640,92.13722068889199,29.18752440738946,4.852087244148116,14.684221,13.56338,9,3797.2104
